question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,difficulty
What is the capital city of Argentina?,Buenos Aires,Santiago,Lima,Caracas,2
Who wrote the novel 'Moby-Dick'?,Herman Melville,Mark Twain,Jules Verne,Charles Dickens,4
Which element has the chemical symbol 'Fe'?,Iron,Lead,Silver,Gold,2
In which year did the Berlin Wall fall?,1989,1991,1975,1983,5
What is the largest planet in our Solar System?,Jupiter,Saturn,Earth,Neptune,2
Which artist painted the 'Mona Lisa'?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,2
Who is known as the 'Father of Computers'?,Charles Babbage,Alan Turing,Isaac Newton,Bill Gates,5
What is the smallest prime number?,2,1,3,5,1
Which country is known for inventing sushi?,Japan,China,Korea,Vietnam,2
What is the main ingredient in guacamole?,Avocado,Tomato,Cucumber,Onion,1
Which king signed the Magna Carta in 1215?,King John,King Henry,King Richard,King Edward,6
What is the longest river in Africa?,Nile River,Congo River,Zambezi River,Orange River,3
What type of animal is a Komodo dragon?,Lizard,Snake,Frog,Turtle,2
Who composed the opera 'The Magic Flute'?,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Johann Sebastian Bach,Giuseppe Verdi,6
What is the freezing point of water in Celsius?,0 degrees,5 degrees,-5 degrees,10 degrees,1
Which U.S. president issued the Emancipation Proclamation?,Abraham Lincoln,Andrew Johnson,Ulysses S. Grant,James Buchanan,3
What gas do plants absorb during photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Methane,2
What is the national sport of Canada?,Lacrosse,Hockey,Basketball,Soccer,7
In which city is the famous Acropolis located?,Athens,Rome,Istanbul,Cairo,3
Which planet has the most moons?,Saturn,Jupiter,Mars,Uranus,6
Who discovered penicillin in 1928?,Alexander Fleming,Marie Curie,Louis Pasteur,Joseph Lister,4
What is the currency of Sweden?,Krona,Euro,Franc,Pound,5
What language is primarily spoken in Brazil?,Portuguese,Spanish,French,Italian,2
The Great Barrier Reef is located off the coast of which country?,Australia,India,South Africa,Mexico,2
Who was the lead singer of Queen?,Freddie Mercury,David Bowie,Mick Jagger,Robert Plant,3
Which country is home to the ancient city of Petra?,Jordan,Egypt,Greece,Morocco,4
What is the hardest natural substance on Earth?,Diamond,Quartz,Gold,Ruby,2
Who is the author of the fantasy series 'A Song of Ice and Fire'?,George R.R. Martin,J.K. Rowling,Patrick Rothfuss,Terry Pratchett,3
Which Italian city is famous for its historical canals?,Venice,Florence,Milan,Turin,2
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Caravaggio,2
Which element has the atomic number 79?,Gold,Iron,Copper,Zinc,5
In what year did Apollo 11 land on the Moon?,1969,1959,1979,1989,3
Who was the first female Prime Minister of the UK?,Margaret Thatcher,Angela Merkel,Indira Gandhi,Golda Meir,4
What is the capital city of Norway?,Oslo,Helsinki,Copenhagen,Stockholm,2
Which gas is commonly used to fill balloons for floating?,Helium,Oxygen,Nitrogen,Hydrogen,3
Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Christopher Marlowe,Oscar Wilde,Samuel Beckett,2
Which animal is the largest living mammal?,Blue whale,African elephant,Hippopotamus,White rhino,2
Which U.S. city is known as the 'City of Angels'?,Los Angeles,San Francisco,New Orleans,Las Vegas,2
What is the chemical formula for table salt?,NaCl,KCl,Na2CO3,CaCl2,3
Who won the FIFA World Cup in 2014?,Germany,Brazil,Spain,Argentina,3
Which mountain is the tallest in Africa?,Kilimanjaro,Mount Kenya,Mount Elgon,Mount Meru,3
Ratatouille is a traditional dish from which country?,France,Spain,Greece,Italy,4
Who directed the movie 'Jurassic Park'?,Steven Spielberg,James Cameron,George Lucas,Ridley Scott,2
